"Source:","D:\docs\GitHub\DIY\zx\pentagon 128 portable\schematic\469devboard\469devboard.sch"
"Date:","10/10/2020 13:52:49"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","77"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","IC1","1072","SamacSys_Parts:1072","SamacSys_Parts:1072","http://www.keystoneelectronics.net/ENG._DEPT/WEB_ORACLE/PDF/PDF%20CAT%20NO%20DRAWINGS/1000-1999/1072.PDF","Coin Cell Battery Holders BATTERY HOLDER FOR CR1220 / 1225 Tape and Reel","3.95","Keystone Electronics","1072","534-1072","https://www.mouser.co.uk/ProductDetail/Keystone-Electronics/1072?qs=u16ybLDytRbC8B3DEARGaw%3D%3D"
"","","J1","Conn_02x17_Odd_Even","Connector_Generic:Conn_02x17_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x17_P2.54mm_Vertical","~","","","","","",""
"","","J2","Conn_ARM_JTAG_SWD_20","Connector:Conn_ARM_JTAG_SWD_20","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","http://infocenter.arm.com/help/topic/com.arm.doc.dui0499b/DUI0499B_system_design_reference.pdf","","","","","",""
"","","J3","10033526-N3212LF","SamacSys_Parts:10033526-N3212LF","SamacSys_Parts:10033526N3212LF","https://www.amphenol-icc.com/media/wysiwyg/files/drawing/10033526.pdf","AMPHENOL FCI NANTONG - 10033526-N3212LF. - CONN USB RCP 5 POS 0.8MM SLDR RA SMD 5TERM","4.15","Amphenol","10033526-N3212LF","649-10033526-N3212LF","https://www.mouser.co.uk/ProductDetail/Amphenol-FCI/10033526-N3212LF?qs=LmzVcvYPptRTPTxae6JWyQ%3D%3D"
"","","J4","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","",""
"","","J5","Conn_01x35_Male","Connector:Conn_01x35_Male","Connector_PinHeader_2.54mm:PinHeader_1x35_P2.54mm_Vertical","~","","","","","",""
"","","J6","Conn_01x36_Male","Connector:Conn_01x36_Male","Connector_PinHeader_2.54mm:PinHeader_1x36_P2.54mm_Vertical","~","","","","","",""
"","","J7","Conn_01x23_Male","Connector:Conn_01x23_Male","Connector_PinHeader_2.54mm:PinHeader_1x23_P2.54mm_Vertical","~","","","","","",""
"","","J8","Conn_01x30_Male","Connector:Conn_01x30_Male","Connector_PinHeader_2.54mm:PinHeader_1x30_P2.54mm_Vertical","~","","","","","",""
"","","J9","104031-0811","SamacSys_Parts:104031-0811","SamacSys_Parts:1040310811","http://www.molex.com/webdocs/datasheets/pdf/en-us/1040310811_MEMORY_CARD_SOCKET.pdf","microSD 1.10mm SMT push-pull memory card microSD 1.10mm SMT push-pull memory card","","Molex","104031-0811","538-104031-0811","https://www.mouser.co.uk/ProductDetail/Molex/104031-0811?qs=udsGRKD4nA3Tvy7wqky%252BuA%3D%3D"
"","","J10","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","","",""
"","","J11","DSI","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","",""
"","","J12","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","","",""
"","","R1","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","R2","100k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","R3","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","R5","100k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","R6","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","R7","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","R8","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","R9","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","R10","220","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","SW1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin","~","","","","","",""
